"Date","Price","Open","High","Low","Vol.","Change %"
"02/04/1999","0.34","0.36","0.36","0.34","463.78M","-5.56%"
"02/03/1999","0.36","0.35","0.36","0.35","338.74M","2.86%"
"02/02/1999","0.35","0.36","0.36","0.35","307.16M","-5.41%"
"02/01/1999","0.37","0.37","0.37","0.36","278.91M","0.00%"
"01/29/1999","0.37","0.37","0.37","0.36","242.72M","2.78%"
"01/28/1999","0.36","0.36","0.37","0.36","336.28M","0.00%"
"01/27/1999","0.36","0.37","0.37","0.36","364.95M","0.00%"
"01/26/1999","0.36","0.36","0.36","0.35","560.05M","2.86%"
"01/25/1999","0.35","0.35","0.35","0.35","385.34M","0.00%"
"01/22/1999","0.35","0.34","0.35","0.33","345.77M","0.00%"
"01/21/1999","0.35","0.36","0.36","0.33","600.49M","-2.78%"
"01/20/1999","0.36","0.37","0.37","0.36","778.12M","0.00%"
"01/19/1999","0.36","0.37","0.38","0.36","534.89M","-2.70%"
"01/15/1999","0.37","0.37","0.38","0.36","1.01B","0.00%"
"01/14/1999","0.37","0.41","0.41","0.37","1.72B","-11.90%"
"01/13/1999","0.42","0.38","0.42","0.38","1.05B","2.44%"
"01/12/1999","0.41","0.41","0.42","0.39","820.74M","0.00%"
"01/11/1999","0.41","0.41","0.41","0.40","560.97M","2.50%"
"01/08/1999","0.40","0.42","0.42","0.39","678.83M","0.00%"
"01/07/1999","0.40","0.38","0.40","0.38","1.43B","8.11%"
"01/06/1999","0.37","0.39","0.39","0.37","1.35B","-5.13%"
"01/05/1999","0.39","0.37","0.39","0.37","1.41B","5.41%"
"01/04/1999","0.37","0.38","0.38","0.36","952.89M","0.00%"
"12/31/1998","0.37","0.36","0.37","0.35","271.58M","2.78%"
"12/30/1998","0.36","0.36","0.37","0.36","237.36M","0.00%"
"12/29/1998","0.36","0.37","0.37","0.36","387.35M","0.00%"
"12/28/1998","0.36","0.35","0.37","0.35","725.31M","2.86%"
"12/24/1998","0.35","0.36","0.36","0.35","200.00M","-2.78%"
"12/23/1998","0.36","0.34","0.36","0.34","1.24B","5.88%"
"12/22/1998","0.34","0.32","0.34","0.32","1.15B","9.68%"
"12/21/1998","0.31","0.32","0.32","0.31","357.45M","0.00%"
"12/18/1998","0.31","0.30","0.32","0.30","791.49M","3.33%"
"12/17/1998","0.30","0.29","0.30","0.29","330.61M","3.45%"
"12/16/1998","0.29","0.30","0.31","0.29","374.35M","-3.33%"
"12/15/1998","0.30","0.29","0.30","0.29","264.71M","3.45%"
"12/14/1998","0.29","0.29","0.30","0.29","501.45M","-3.33%"
"12/11/1998","0.30","0.29","0.30","0.29","690.00M","3.45%"
"12/10/1998","0.29","0.29","0.29","0.28","391.25M","0.00%"
"12/09/1998","0.29","0.29","0.29","0.28","592.92M","0.00%"
"12/08/1998","0.29","0.30","0.30","0.29","680.11M","-3.33%"
"12/07/1998","0.30","0.30","0.30","0.29","566.60M","3.45%"
"12/04/1998","0.29","0.31","0.31","0.29","721.37M","-3.33%"
"12/03/1998","0.30","0.32","0.33","0.30","626.05M","-6.25%"
"12/02/1998","0.32","0.30","0.33","0.30","962.48M","6.67%"
"12/01/1998","0.30","0.29","0.31","0.28","865.74M","3.45%"
"11/30/1998","0.29","0.31","0.31","0.28","561.49M","-6.45%"
"11/27/1998","0.31","0.31","0.31","0.31","153.10M","0.00%"
"11/25/1998","0.31","0.32","0.32","0.31","303.80M","-3.12%"
"11/24/1998","0.32","0.32","0.33","0.32","319.75M","0.00%"
"11/23/1998","0.32","0.32","0.33","0.31","577.95M","0.00%"
"11/20/1998","0.32","0.33","0.33","0.31","399.22M","0.00%"
"11/19/1998","0.32","0.32","0.33","0.32","346.53M","0.00%"
"11/18/1998","0.32","0.31","0.32","0.31","329.66M","3.23%"
"11/17/1998","0.31","0.32","0.32","0.31","210.73M","-3.12%"
"11/16/1998","0.32","0.32","0.33","0.32","384.53M","0.00%"
